artist_id,artist_name,popularity,followers,genres,photo
0sSxphmGskGCKlwB9xa6WU,Himesh Reshammiya,65,4033590,"['desi pop', 'filmi', 'modern bollywood']",https://i.scdn.co/image/ab6761610000e5eb2cfc402fa29cd2949023a8bf
0sbtGmW8r5bxfXzla8a7eI,Sabri Brothers,51,254528,"['pakistani folk', 'sufi']",https://i.scdn.co/image/ab67616d0000b273759b14ac410eec87019820b4
0uWl5BUPnXzE2RWQEprHyF,Suzanne,44,607,[],https://i.scdn.co/image/ab67616d0000b273b36a619e57d007f99bf2e8a8
0uwp0t2eE8qxCatuNX23ch,Rahul Saxena,40,76,[],https://i.scdn.co/image/ab67616d0000b273a02d2f1dc525d3ded4ac84cf
0v8Vu84KyjZUxCD1P8LpDp,Rasika Shekar,28,630,['tamil indie'],https://i.scdn.co/image/ab6761610000e5ebfbbea10c256a0f2ee313b5f5
0vkpFzbSTmwPuGGnhsblFI,Ajay Gogavale,55,190672,"['desi pop', 'filmi', 'modern bollywood']",https://i.scdn.co/image/ab67616d0000b273a4bfc0fd882d2154ae358347
0w0mlcvl7QH28Cs28O6waY,Akshay Kumar,59,73351,['modern bollywood'],https://i.scdn.co/image/ab6761610000e5ebb9be4c167acda219a94d2bb6
0w4e7HVbqAHFPN6VkIlvhe,Suresh Wadkar,56,686596,"['bhajan', 'classic bollywood', 'desi pop', 'filmi', 'ghazal', 'modern bollywood']",https://i.scdn.co/image/ab6761610000e5ebedc8b6b16d41b66123c96d04
0w8tFRpIwIcsX9HXUIaoAF,Vaishali,38,3522,[],https://i.scdn.co/image/ab67616d0000b273610f13993d9594f8c5fa96a3
0xHXoShMJw3xDArjL8IHtt,Nadeem Shravan,43,55979,['classic bollywood'],https://i.scdn.co/image/ab67616d0000b273d2802557a579f983a776d5e5
0y59o4v8uw5crbN9M3JiL1,Badshah,75,15953637,"['desi hip hop', 'desi pop', 'desi trap', 'haryanvi pop', 'modern bollywood']",https://i.scdn.co/image/ab6761610000e5eb9c72bb146a19c0100e2ed079
0y633xrd3L3rSxpZ4awgnG,Ravindra Jain,45,22588,"['bhajan', 'jain bhajan']",https://i.scdn.co/image/ab6761610000e5ebe63415277db547fff4fcb6b3
0yP14cTFHDszbgRRVFMdmJ,Jolly (Joshilay),10,5,[],[]
0yRC5n90spXG0d3aiDQ0vB,Gulzar,59,383537,"['classic bollywood', 'filmi', 'ghazal', 'modern bollywood']",https://i.scdn.co/image/ab6761610000e5eb27444a2555c1538c36d54c61
0ygVoSAqn4tgm4AgCuKQpF,Salman Ali,45,20239,['sufi'],https://i.scdn.co/image/ab67616d0000b27338dcd92f80f465cb47dbc84e
0z4gvV4rjIZ9wHck67ucSV,Akon,81,2930845,['dance pop'],https://i.scdn.co/image/ab6761610000e5ebdcf05227f2b4483f1e356943
0z4rTHNZKTcPJqrDdLpfmc,Nisha,40,351,[],https://i.scdn.co/image/ab6761610000e5eb764a3d6d7f5557f249eb5a83
10auBNc8nhkSe8gScnWzHt,Aparna Bhagwat,8,2,[],https://i.scdn.co/image/ab67616d0000b273ef078c44662bacc698a3ace0
